lookupName,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
nstru,8,67,68,69,70,65,,,,
nsult,71,72,73,74,75,,,,,
nterp,26,73,,,,,,,,
ntiqu,21,,,,,,,,,
ntrac,76,77,,,,,,,,
nveni,78,,,,,,,,,
ocery,48,91,92,,,,,,,
ociat,24,25,,,,,,,,
ockla,70,,,,,,,,,
oduce,38,,,,,,,,,
offee,58,,,,,,,,,
oldin,49,,,,,,,,,
oleum,54,,,,,,,,,
ollec,59,,,,,,,,,
ollis,60,,,,,,,,,
olste,55,,,,,,,,,
oluti,4,,,,,,,,,
ompac,61,,,,,,,,,
ompan,19,,,,,,,,,
ompre,62,,,,,,,,,
omput,63,64,,,,,,,,
oncre,65,,,,,,,,,
onnec,66,,,,,,,,,
onstr,8,67,68,69,70,65,,,,
onsul,71,72,73,74,75,,,,,
ontra,76,77,,,,,,,,
onven,78,,,,,,,,,
opmen,96,97,,,,,,,,
orate,92,,,,,,,,,
orati,16,,,,,,,,,
ordab,14,,,,,,,,,
orner,79,,,,,,,,,
orpor,16,92,,,,,,,,
ospit,20,,,,,,,,,
other,42,,,,,,,,,
ounts,98,,,,,,,,,
ousin,14,,,,,,,,,
ovati,67,8,,,,,,,,
oveme,3,,,,,,,,,
oving,17,,,,,,,,,
pacto,61,,,,,,,,,
phols,55,,,,,,,,,
pital,49,20,,,,,,,,
plian,22,,,,,,,,,
plies,45,,,,,,,,,
plumb,1,,,,,,,,,
pment,96,97,,,,,,,,
porat,16,92,,,,,,,,
pplia,22,,,,,,,,,
pplie,45,,,,,,,,,
pport,95,,,,,,,,,
pprai,23,,,,,,,,,
prais,23,,,,,,,,,
prehe,62,,,,,,,,,
prise,26,73,,,,,,,,
produ,38,,,,,,,,,
prove,3,,,,,,,,,
puter,63,64,,,,,,,,
quali,3,,,,,,,,,
queen,44,,,,,,,,,
racti,76,77,,,,,,,,
raisa,23,,,,,,,,,
ramic,54,,,,,,,,,
rated,92,,,,,,,,,
ratio,16,,,,,,,,,
rbers,33,,,,,,,,,
rdabl,14,,,,,,,,,
realt,53,,,,,,,,,
reati,81,82,,,,,,,,
rehen,62,,,,,,,,,
renov,67,8,,,,,,,,
repai,60,,,,,,,,,
ribut,99,100,,,,,,,,
rican,18,19,,,,,,,,
riggi,80,,,,,,,,,
rises,26,73,,,,,,,,
rocer,48,91,92,,,,,,,
rockl,70,,,,,,,,,
roduc,38,,,,,,,,,
rothe,42,,,,,,,,,
rovem,3,,,,,,,,,
rpora,16,92,,,,,,,,
rpris,26,73,,,,,,,,
rrier,51,,,,,,,,,
rshop,33,,,,,,,,,
ructi,8,67,68,69,70,65,,,,
rvice,40,57,63,64,74,76,83,94,95,14
sales,32,,,,,,,,,
scoun,98,,,,,,,,,
secur,19,,,,,,,,,
servi,40,57,63,64,74,76,83,94,95,14
sewer,5,,,,,,,,,
socia,24,25,,,,,,,,
solut,4,,,,,,,,,
spita,20,,,,,,,,,
ssoci,24,25,,,,,,,,
stery,55,,,,,,,,,
store,78,79,,,,,,,,
strib,99,100,,,,,,,,
struc,8,67,68,69,70,65,,,,
sulta,71,,,,,,,,,
sulti,72,73,74,75,,,,,,
suppl,35,45,,,,,,,,
suppo,95,,,,,,,,,
tants,71,,,,,,,,,
terar,52,,,,,,,,,
terpr,26,73,,,,,,,,
thers,42,,,,,,,,,
tible,59,,,,,,,,,
tions,4,66,62,,,,,,,
tique,21,,,,,,,,,
tract,76,77,,,,,,,,
tribu,99,100,,,,,,,,
truct,8,67,68,69,70,65,,,,
ualit,3,,,,,,,,,
uatio,62,,,,,,,,,
uctio,8,67,68,69,70,65,,,,
udits,27,,,,,,,,,
ueens,44,,,,,,,,,
uildi,43,44,45,,,,,,,
ulina,83,,,,,,,,,
ultan,71,,,,,,,,,
ultin,72,73,74,75,,,,,,
ultur,84,,,,,,,,,
umbin,1,,,,,,,,,
uphol,55,,,,,,,,,
uppli,45,,,,,,,,,
upply,35,,,,,,,,,
uppor,95,,,,,,,,,
urity,19,,,,,,,,,
usine,14,,,,,,,,,
ustom,85,86,,,,,,,,
uting,99,,,,,,,,,
ution,4,,,,,,,,,
utors,100,,,,,,,,,
valua,62,,,,,,,,,
vatio,67,8,,,,,,,,
velop,96,97,,,,,,,,
vemen,3,,,,,,,,,
venie,78,,,,,,,,,
vices,63,64,74,76,83,94,,,,
visor,12,,,,,,,,,
welry,7,,,,,,,,,
